Date,FPA,FPXI,IQDE,IQDY,CHIQ,GEM,ADRA,PAF,IEMG,HEEM,AXJV,EMGF,ACWX,AAXJ,EEMA,AIA,IPOS,CWI,QEMM,MOTI,REMX,VEU,VXUS,AXJL,EMCG,XSOE,DNL,IHDG,DBAP
2016/5/16,-0.010727056,-0.005295316,-0.011161847,-0.015696203,-0.025886865,-0.011749895,-0.004670913,-0.0193564,-0.010781671,-0.011164274,-0.003433208,-0.026490066,-0.008456083,-0.011231366,-0.007986186,-0.002855659,0,-0.006659657,-0.010493414,0.000840336,-0.021804511,-0.00705823,-0.008616563,0.000615258,-0.025405405,-0.006018054,-0.011223087,-0.002786624,-0.005268199
2016/5/23,0.014859438,0.011470709,0.018508997,0.028089888,0.021978022,0.027280477,0.026877133,-0.045077973,0.025669033,0.02528241,0.01782364,0.027210884,0.024269167,0.029084158,0.027976578,0.029823651,0,0.025132743,0.025502144,0.01427372,0.035330261,0.024949084,0.024230676,0.018821604,0.026067665,0.021627188,0.023433875,0.025179856,-0.015640274
2016/5/31,0.012603387,0,0.013719512,0.004495504,-0.006704981,0.024916944,-0.003319502,0.008967461,0.022086216,0.008886566,0.012903226,0,0.010264722,0.014316962,0.018178019,0.019890602,0.020100503,0.010038075,0.011268228,0.012214984,0.036205648,0.009213147,0.011148008,0.017585931,0.006989247,0.019657258,0.016151046,-0.007421875,0.002979146
2016/6/6,-0.006525912,-0.022453889,-0.024353877,0.021382397,-0.028598665,-0.016887817,-0.007910075,-0.009254499,-0.018336777,-0.018461538,-0.014375562,0.034030596,-0.027608176,-0.017829457,-0.020020429,-0.007947977,0.007011866,-0.026566757,-0.012762276,-0.014883347,-0.045485404,-0.026947575,-0.028172293,-0.011648224,-0.004719455,0,-0.020412691,-0.026953125,-0.014356436
2016/6/13,-0.007840063,-0.003333333,0.003613836,-0.013326499,0.004024145,0.004158004,0.00511509,0,0.00506937,0.004746835,-0.001541782,-0.004381847,0.002215453,0.00340818,0.004441624,0.002480774,-0.046063203,-0.000354988,0.004897596,-0.005830904,0.014409222,0.003065917,0.002430134,-0.002988048,-0.025816649,0,0.000917431,-0.005721291,0
2016/6/19,-0.025541796,-0.045882835,nan,nan,-0.019880716,-0.024390244,-0.024046434,-0.002051808,-0.027422303,-0.026915114,0.008029648,-0.005972964,-0.045675676,-0.022839142,-0.020319303,-0.02331795,-0.053833605,-0.047189452,-0.018542757,-0.06133225,-0.044839858,-0.044593921,-0.046919431,nan,nan,nan,nan,nan,0.036664992
2016/6/27,0.06763872,0.05154185,0.065101387,0.039895013,0.067010309,0.071518721,0.03891561,-0.003987042,0.073349633,0.061356297,0.054341037,0.069109611,0.062572088,0.06536347,0.070416488,0.071034137,-0.002873563,0.064814815,0.066802076,0.063313875,0.06969697,0.062998405,0.06077488,0.058965587,0.065217391,0,0.065309986,0.059443508,0.003818616
2016/7/5,-0.006505932,0.013657704,0.011173184,0.007731959,0.005899705,0.013231756,0.015221987,-0.032274206,0.01496388,0.010277492,-0.009478673,-0.002405292,0.010226645,0.010844307,0.011423909,0.009778202,0,0.0102764,0.012864494,0.012126462,0.02,0.010963794,0.010930289,0.011140991,0.017045455,0,0.012247675,0.006879806,-0.029481693
2016/7/11,0.025544703,0.008731809,0.013386217,0.027217742,0.016283525,0.025058731,0.016646366,-0.042867887,0.023953606,0.018686869,0.018305285,0.013682332,0.017548596,0.022213784,0.019345832,0.02762819,0.056113408,0.018358157,0.02082895,0.040169133,0.00852459,0.016923843,0.018043685,0.02262017,0.037582529,0.068458418,0.015946844,0.008300395,0.007839294
2016/7/18,-0.001092896,0.006987259,-0.001953125,-0.004416094,0.002803738,0.001141118,-0.001996805,0.060468833,0,0.0004914,-0.005802147,0.018192488,-0.002114165,0.002398524,0.000972763,0.002711864,-0.000559284,-0.001355932,0.005538462,-0.009803922,-0.036505867,-0.002680965,-0.000464792,-0.000183385,0.001473477,0.011865211,0.003043478,0.008196721,0.014584346
2016/7/25,0.033357771,0.026090501,0.021057786,0.023656974,0.015037594,0.013404826,0.0164,0.007535795,0.016276202,0.000985707,0.002334403,0.02795389,0.017012228,0.014463193,0.014481409,0.012724381,0.030252101,0.018386108,0.008838643,0.011618257,0.002739726,0.017380661,0.018427805,0.014383183,0.015181195,0.011726079,0.013484124,0.005424254,0.016361886
2016/8/1,0.004255319,0.015121369,0.005319149,0.008248423,0.006463527,0.011733535,0.002342835,0.031749938,0.014105058,0.011851852,0.003775777,-0.012054948,0.005521956,0.009864815,0.00940499,0.005360733,0.002175095,0.004030904,0.010763607,0.008613618,0.022742936,0.002176542,0.00414174,0.002170767,-0.00962001,-0.009735744,0.006035784,0,0.011665889
2016/8/8,0.004580691,0.030136986,0.013962446,0.017216643,0.034671533,0.01598513,0.018153727,-0.007391512,0.015729266,0.016081871,0.015845578,0.026106697,0.016419077,0.01511607,0.015725654,0.004198895,0.02590394,0.016,0.012974052,0.0199268,-0.003355705,0.016086435,0.014155251,0.003757381,0.013757116,0,0.01365479,0.017496112,0.013376384
2016/8/15,-0.012203626,-0.003802281,-0.011352886,0,-0.027826087,-0.010511055,0.001887505,0.022977501,-0.007433217,-0.001906578,-0.001689189,-0.016935264,-0.005355777,-0.009127611,-0.008494922,-0.00152207,0,-0.004240052,-0.00916358,0.000398724,0.016880486,-0.004931893,-0.005145414,-0.009009009,-0.015726179,0.05758427,-0.014432127,-0.016387195,0.000455166
2016/8/22,-0.002128414,-0.005740528,-0.011510791,-0.013576779,0.005395683,-0.010003705,-0.006441834,-0.010695187,-0.007829181,-0.003375121,-0.004794134,-0.010002779,-0.008733624,-0.001968856,0.001502347,-0.002191541,0,-0.00984575,-0.001796766,-0.006377043,-0.024390244,-0.008749113,-0.008554705,-0.003050969,0.002859867,0.000885347,-0.013614125,-0.006189555,-0.001360544
2016/8/29,0.004267425,0.016228748,0.009200969,0.00616991,0.021390374,0.009283327,0.011441648,0.017181333,0.009498931,0.005760922,0.004564907,0.003390788,0.013412432,0.013204854,0.006712661,0.010244115,0.024744486,0.01320132,-0.007976072,0.016038492,-0.00685401,0.012589074,0.009952499,0.001082056,0.016932753,-0.033171163,0.00577911,0.01122291,0.012715713
2016/9/6,-0.025508445,-0.022047833,-0.019020447,-0.014438752,-0.007679181,-0.038530789,-0.01742677,-0.001142335,-0.036644388,-0.026452527,-0.028754886,0,-0.025460045,-0.027624309,-0.030621489,-0.024195245,0,-0.024822695,-0.035700427,-0.013645224,-0.030344828,-0.024146738,-0.022389714,-0.025872763,-0.028227672,0,-0.029300963,-0.020665901,0
