Date,FPA,FPXI,IQDE,IQDY,CHIQ,GEM,ADRA,PAF,IEMG,HEEM,AXJV,EMGF,ACWX,AAXJ,EEMA,AIA,IPOS,CWI,QEMM,MOTI,REMX,VEU,VXUS,AXJL,EMCG,XSOE,DNL,IHDG,DBAP,Monthly_Rf
2016/04/18,-0.00702403,-0.001970832,0.001988072,0.007889545999999999,-0.0008944539999999999,-0.0075516690000000004,0.025316456,0.0004991269999999999,-0.005597964,-0.002027369,0.008181818,0.010472771,0.009054594000000001,-0.009174311999999999,-0.008686869,-0.0041033070000000005,0.007625272,0.008517888000000001,-0.002126755,0.029880478,0.07342922,0.008845209,0.008888889,0.002873563,0.010471204,0.004343629,0.002692998,0.0039572620000000005,0.00345679,0.0027747252747252747
2016/04/25,-0.016080778,-0.003562945,-0.000499251,-0.002948403,-0.02160216,-0.000804505,-0.035412475,-0.049139435999999995,0.0010290710000000001,-0.010747185,-0.001803427,-0.016582766000000002,-0.0061007959999999995,-0.012979465,-0.007210548000000001,-0.016113281,0.0,-0.007809846999999999,0.00192926,-0.007014809,-0.026353276000000002,-0.009057528,-0.007690515,-0.021722414,0.008956796999999999,0.004856727,0.001123091,-0.022915843999999998,-0.012820513,0.0024725274725274724
2016/05/02,-0.037542662000000004,-0.01704996,-0.028315946,-0.029484029,-0.03597786,-0.035872632,-0.01671542,0.073189927,-0.038639876000000004,-0.034553894,-0.024635036000000003,-0.03783293,-0.031283139,-0.036071359,-0.037075394,-0.034141514,-0.033513514,-0.031994554,-0.039538363,-0.058869702,-0.037275986000000004,-0.029209622,-0.030097992999999996,-0.031993757000000005,-0.023498695,0.0,-0.03180605,-0.010016025999999999,0.041458541,0.0023901098901098904
2016/05/09,-0.007936508,-0.006493506,0.0,-0.011139241000000001,-0.014548982,-0.003376952,0.009413778000000001,0.025206011,-0.0027173909999999996,-0.006963041999999999,-0.0021902379999999997,-0.002516515,-0.004674182,-0.009025641,-0.013411205,-0.017829457,0.0022371360000000002,-0.004588775,-0.009598214,-0.004600585999999999,0.023364486,-0.004828463,-0.003870343,-0.009748172,0.004812834,-0.036249396,-0.006674338,-0.001607071,0.00723589,0.00239010989010989
2016/05/16,-0.010727056,-0.0052953159999999996,-0.011161846999999999,-0.015696203,-0.025886865,-0.011749895,-0.004670913,-0.019356400000000003,-0.010781671000000001,-0.011164273999999998,-0.003433208,-0.026490066,-0.008456083,-0.011231366000000001,-0.007986186,-0.0028556590000000004,0.0,-0.006659656999999999,-0.010493414,0.000840336,-0.021804511000000002,-0.00705823,-0.008616563,0.000615258,-0.025405405,-0.006018054,-0.011223087,-0.002786624,-0.005268199,0.0033241758241758248
2016/05/23,0.014859438,0.011470708999999999,0.018508997,0.028089887999999997,0.021978022000000003,0.027280477,0.026877132999999997,-0.045077973,0.025669032999999997,0.02528241,0.01782364,0.027210883999999998,0.024269167,0.029084158,0.027976578,0.029823651,0.0,0.025132743,0.025502143999999997,0.01427372,0.035330261,0.024949084,0.024230676,0.018821604,0.026067665,0.021627188,0.023433875,0.025179856,-0.015640274,0.003351648351648352
2016/05/31,0.012603386999999999,0.0,0.013719512,0.004495504,-0.006704981,0.024916944,-0.003319502,0.008967461,0.022086216000000002,0.008886566,0.012903226,0.0,0.010264721999999999,0.014316961999999999,0.018178019,0.019890602,0.020100503,0.010038075,0.011268228,0.012214984,0.036205648,0.009213147,0.011148008000000001,0.017585931000000003,0.006989247,0.019657258,0.016151046000000002,-0.007421875,0.002979146,0.003241758241758242
2016/06/06,-0.006525911999999999,-0.022453888999999998,-0.024353877000000003,0.021382397,-0.028598665,-0.016887817,-0.007910075,-0.009254499000000001,-0.018336777,-0.018461538,-0.014375562,0.034030596,-0.027608176,-0.017829457,-0.020020429,-0.007947977,0.007011865999999999,-0.026566757000000003,-0.012762276000000001,-0.014883347,-0.04548540400000001,-0.026947575,-0.028172292999999998,-0.011648223999999999,-0.004719455,0.0,-0.020412691,-0.026953125,-0.014356436,0.0025274725274725273
2016/06/13,-0.007840063000000001,-0.003333333,0.0036138359999999996,-0.013326498999999999,0.004024145,0.004158004,0.00511509,0.0,0.00506937,0.004746835,-0.0015417820000000002,-0.004381847,0.002215453,0.00340818,0.004441624,0.002480774,-0.046063203,-0.00035498800000000004,0.004897596,-0.0058309040000000005,0.014409222,0.003065917,0.002430134,-0.002988048,-0.025816649,0.0,0.000917431,-0.005721291,0.0,0.002692307692307692
2016/06/27,0.06763872,0.05154185,0.065101387,0.039895013,0.067010309,0.071518721,0.03891561,-0.0039870420000000005,0.073349633,0.061356297000000004,0.054341037,0.069109611,0.062572088,0.06536347,0.070416488,0.071034137,-0.002873563,0.064814815,0.066802076,0.063313875,0.06969697,0.062998405,0.06077488,0.058965587,0.065217391,0.0,0.065309986,0.059443508,0.003818616,0.006565934065934065
